case_id,flow_id,tags,notes,id_key,produce.topic,produce.key,produce.body.event_id,produce.body.event_name,produce.body.event_type,produce.body.bright_uid,produce.body.email,produce.body.anonymous_id,produce.body.event_time,produce.body.source,produce.body.properties.screen,produce.body.properties.score,seed.path,seed.method,seed.scenario,seed.resp,seed.is_sequence,repeat.same_flow_id,repeat.distinct_ids,repeat.concurrent,db.host,db.database,db.delay_ms,db1.table,db1.where,db1.expect,db2.table,db2.where,db2.expect,db3.table,db3.where,db3.expect,calls,kafka.bootstrap
MPF-R1-001,{{uuid:evt}},r1 posture-r1 correctness,Happy USER_ACTIVITY: legacy row + ledger row + exactly one send.,event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},event_key=not_null,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,,,,/mixpanel/track=1,
MPF-R1-002,{{uuid:evt}},r1 posture-r1 correctness,"Happy USER_PROPERTY routes to people_set, not track.",event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_PROPERTY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/engage,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},event_key=not_null,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,,,,/mixpanel/engage=1;/mixpanel/track=0,
MPF-R1-003,{{uuid:evt}},r1 posture-r1 correctness,Legacy row reaches terminal PROCESSED after delivery.,event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,mixpanel_forwarder_userevent,event_id={{uuid:evt}},status=PROCESSED,,,,/mixpanel/track=1,
MPF-R1-004,{{uuid:evt}},r1 posture-r1 correctness,Ledger claim happens even though the forward worker suppresses the send.,event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},event_key=not_null,,,,,,,/mixpanel/track=1,
MPF-R1-005,{{uuid:evt}},r1 posture-r1 correctness,"Blacklisted event: no legacy row, no ledger row, no send.",event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},NOTIFICATION_FAILED,USER_ACTIVITY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,5000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},__absent__=true,mixpanel_forwarder_userevent,event_id={{uuid:evt}},__absent__=true,,,,/mixpanel/track=0,
MPF-R1-006,{{uuid:evt}},r1 posture-r1 correctness,"No identity at all: serializer rejects, nothing written, nothing sent.",event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,5000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},__absent__=true,mixpanel_forwarder_userevent,event_id={{uuid:evt}},__absent__=true,,,,/mixpanel/track=0,
MPF-R1-007,{{uuid:evt}},r1 posture-r1 correctness,anonymous_id-only event is valid and forwards.,event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,,,bcb2f309-fb02-4b65-92dc-a7772059b647,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},event_key=not_null,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,,,,/mixpanel/track=1,
MPF-R1-008,{{uuid:evt}},r1 posture-r1 correctness,"Unsupported event_type: no send, pipeline does not wedge.",event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,UNSUPPORTED_TYPE,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,,,,,,,/mixpanel/track=0,
MPF-SW-001,{{uuid:evt}},switches posture-r1,"R1 (WRITE=T SEND=T fwd-send=F): legacy row + ledger row, one send from legacy.",event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},event_key=not_null,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,,,,/mixpanel/track=1,
MPF-SW-002,{{uuid:evt}},switches posture-2a,"2a (WRITE=T SEND=F fwd-send=T): legacy row still written as rollback trail, forward sends.",event_id,SINGLE_EVENT_LOCALTEST,,{{uuid:evt}},credit_score_viewed,USER_ACTIVITY,f38f7092-66e2-4b6d-8ff7-97d612d51c79,,,1785600000,android,'dashboard',720,/mixpanel/track,POST,mixpanel-ok,"status=200;raw={""status"": 1}",,1,1,1,dev-database.cjosnknqnkwp.us-west-2.rds.amazonaws.com:5432,narada_mixpanel_forwarder,8000,mixpanel_forwarder_eventledger,event_key={{uuid:evt}},event_key=not_null,mixpanel_forwarder_userevent,event_id={{uuid:evt}},event_id=not_null,,,,/mixpanel/track=1,
